$ bun server/index.js --port ${KRONOSCHAMBER_PORT:-3001}
Starting KronosChamber on port 3001
macOS Say TTS available with 188 voices
[zen] Startup model validation failed (non-blocking): Unable to connect. Is the computer able to access the url?
KRONOSCODE_EXTERNAL_ONLY is enabled; attaching to external KronosCode on port 4096
Detected KronosCode port: 4096
Setting up proxy to KronosCode on port 4096
Serving static files from /Users/albsheralsadi/kronosfinal/kronoscoder/packages/web/dist
KronosChamber server running on port 3001
Health check: http://localhost:3001/health
Web interface: http://localhost:3001
[PushWatcher] connected
2026-03-06T04:50:11.743Z - POST /api/push/visibility
2026-03-06T04:50:14.362Z - GET /api/git/check
2026-03-06T04:50:21.742Z - POST /api/push/visibility
2026-03-06T04:50:24.368Z - GET /api/git/check
2026-03-06T04:50:31.742Z - POST /api/push/visibility
2026-03-06T04:50:34.374Z - GET /api/git/check
2026-03-06T04:50:41.742Z - POST /api/push/visibility
2026-03-06T04:50:44.381Z - GET /api/git/check
2026-03-06T04:50:51.742Z - POST /api/push/visibility
2026-03-06T04:50:54.390Z - GET /api/git/check
2026-03-06T04:51:01.743Z - POST /api/push/visibility
2026-03-06T04:51:04.397Z - GET /api/git/check
2026-03-06T04:51:11.743Z - POST /api/push/visibility
2026-03-06T04:51:14.404Z - GET /api/git/check
2026-03-06T04:51:21.742Z - POST /api/push/visibility
2026-03-06T04:51:24.411Z - GET /api/git/check
2026-03-06T04:51:31.742Z - POST /api/push/visibility
2026-03-06T04:51:34.418Z - GET /api/git/check
2026-03-06T04:51:41.743Z - POST /api/push/visibility
2026-03-06T04:51:44.423Z - GET /api/git/check
2026-03-06T04:51:51.744Z - POST /api/push/visibility
2026-03-06T04:51:54.430Z - GET /api/git/check
2026-03-06T04:52:01.742Z - POST /api/push/visibility
2026-03-06T04:52:04.435Z - GET /api/git/check
2026-03-06T04:52:11.743Z - POST /api/push/visibility
2026-03-06T04:52:14.442Z - GET /api/git/check
2026-03-06T04:52:21.742Z - POST /api/push/visibility
2026-03-06T04:52:24.449Z - GET /api/git/check
2026-03-06T04:52:31.744Z - POST /api/push/visibility
2026-03-06T04:52:34.457Z - GET /api/git/check
2026-03-06T04:52:41.743Z - POST /api/push/visibility
2026-03-06T04:52:44.464Z - GET /api/git/check
2026-03-06T04:52:51.743Z - POST /api/push/visibility
2026-03-06T04:52:54.472Z - GET /api/git/check
2026-03-06T04:53:01.742Z - POST /api/push/visibility
2026-03-06T04:53:04.481Z - GET /api/git/check
2026-03-06T04:53:11.743Z - POST /api/push/visibility
2026-03-06T04:53:14.488Z - GET /api/git/check
2026-03-06T04:53:21.743Z - POST /api/push/visibility
2026-03-06T04:53:24.494Z - GET /api/git/check
2026-03-06T04:53:31.742Z - POST /api/push/visibility
2026-03-06T04:53:34.502Z - GET /api/git/check
2026-03-06T04:53:41.743Z - POST /api/push/visibility
2026-03-06T04:53:44.508Z - GET /api/git/check
2026-03-06T04:53:51.745Z - POST /api/push/visibility
error: script "dev:server" was terminated by signal SIGKILL (Forced quit)
