$ bun server/index.js --port ${KRONOSCHAMBER_PORT:-3001}
Starting KronosChamber on port 3001
macOS Say TTS available with 188 voices
[zen] Startup model validation failed (non-blocking): Unable to connect. Is the computer able to access the url?
KRONOSCODE_EXTERNAL_ONLY is enabled; attaching to external KronosCode on port 4096
Detected KronosCode port: 4096
Setting up proxy to KronosCode on port 4096
Serving static files from /Users/albsheralsadi/kronosfinal/kronoscoder/packages/web/dist
KronosChamber server running on port 3001
Health check: http://localhost:3001/health
Web interface: http://localhost:3001
[PushWatcher] connected
2026-03-05T05:50:15.736Z - GET /api/runtime/status
2026-03-05T05:50:16.002Z - POST /api/push/visibility
2026-03-05T05:50:16.004Z - GET /api/fs/list
2026-03-05T05:50:16.012Z - GET /api/global/event
[sse] connect scope=global reason=new-stream path=/global/event
2026-03-05T05:50:16.018Z - GET /api/fs/list
[sse] lifecycle action=connect reason=new-stream scope=global
2026-03-05T05:50:17.991Z - GET /api/git/check
2026-03-05T05:50:18.009Z - GET /api/runtime/tasks
2026-03-05T05:50:18.031Z - GET /api/fs/list
2026-03-05T05:50:18.070Z - GET /api/session/ses_34377f36cffeE2RGVHiJ5iG79Y/message
API → KronosCode: GET /session/ses_34377f36cffeE2RGVHiJ5iG79Y/message
2026-03-05T05:50:18.081Z - GET /api/fs/list
2026-03-05T05:50:18.082Z - GET /api/git/status
2026-03-05T05:50:18.303Z - GET /api/sessions/snapshot
2026-03-05T05:50:18.304Z - GET /api/session/status
API → KronosCode: GET /session/status
2026-03-05T05:50:18.749Z - GET /api/runtime/status
2026-03-05T05:50:18.778Z - GET /api/session/ses_34377f36cffeE2RGVHiJ5iG79Y
API → KronosCode: GET /session/ses_34377f36cffeE2RGVHiJ5iG79Y
2026-03-05T05:50:19.123Z - GET /api/sessions/snapshot
2026-03-05T05:50:19.124Z - GET /api/session/status
API → KronosCode: GET /session/status
2026-03-05T05:50:20.175Z - GET /api/fs/list
2026-03-05T05:50:20.180Z - GET /api/fs/list
2026-03-05T05:50:21.864Z - GET /api/runtime/status
2026-03-05T05:50:22.579Z - POST /api/push/visibility
2026-03-05T05:50:23.175Z - GET /api/fs/list
2026-03-05T05:50:23.178Z - GET /api/fs/list
2026-03-05T05:50:24.767Z - GET /sw.js
2026-03-05T05:50:24.825Z - GET /api/runtime/status
2026-03-05T05:50:26.186Z - GET /api/fs/list
2026-03-05T05:50:26.202Z - GET /api/fs/list
2026-03-05T05:50:27.823Z - GET /api/runtime/status
2026-03-05T05:50:29.176Z - GET /api/fs/list
2026-03-05T05:50:29.182Z - GET /api/fs/list
2026-03-05T05:50:30.833Z - GET /api/runtime/status
2026-03-05T05:50:32.130Z - POST /api/push/visibility
2026-03-05T05:50:32.172Z - GET /api/fs/list
2026-03-05T05:50:32.174Z - GET /api/fs/list
2026-03-05T05:50:33.836Z - GET /api/runtime/status
2026-03-05T05:50:35.184Z - GET /api/fs/list
2026-03-05T05:50:35.189Z - GET /api/fs/list
2026-03-05T05:50:36.843Z - GET /api/runtime/status
2026-03-05T05:50:38.173Z - GET /api/fs/list
2026-03-05T05:50:38.183Z - GET /api/fs/list
2026-03-05T05:50:39.877Z - GET /api/runtime/status
2026-03-05T05:50:41.183Z - GET /api/fs/list
2026-03-05T05:50:41.186Z - GET /api/fs/list
2026-03-05T05:50:42.134Z - POST /api/push/visibility
2026-03-05T05:50:42.866Z - GET /api/runtime/status
2026-03-05T05:50:44.190Z - GET /api/fs/list
2026-03-05T05:50:44.200Z - GET /api/fs/list
2026-03-05T05:50:45.902Z - GET /api/runtime/status
2026-03-05T05:50:47.173Z - GET /api/fs/list
2026-03-05T05:50:47.176Z - GET /api/fs/list
2026-03-05T05:50:50.184Z - GET /api/fs/list
2026-03-05T05:50:50.197Z - GET /api/fs/list
2026-03-05T05:50:52.126Z - POST /api/push/visibility
2026-03-05T05:50:53.175Z - GET /api/fs/list
2026-03-05T05:50:53.178Z - GET /api/fs/list
2026-03-05T05:50:56.193Z - GET /api/fs/list
2026-03-05T05:50:56.198Z - GET /api/fs/list
2026-03-05T05:50:59.183Z - GET /api/fs/list
2026-03-05T05:50:59.198Z - GET /api/fs/list
2026-03-05T05:51:02.149Z - POST /api/push/visibility
2026-03-05T05:51:02.171Z - GET /api/fs/list
2026-03-05T05:51:02.182Z - GET /api/fs/list
2026-03-05T05:51:05.244Z - GET /api/fs/list
2026-03-05T05:51:05.292Z - GET /api/fs/list
2026-03-05T05:51:08.182Z - GET /api/fs/list
2026-03-05T05:51:08.190Z - GET /api/fs/list
2026-03-05T05:51:11.241Z - GET /api/fs/list
2026-03-05T05:51:11.368Z - GET /api/fs/list
2026-03-05T05:51:12.131Z - POST /api/push/visibility
2026-03-05T05:51:14.197Z - GET /api/fs/list
2026-03-05T05:51:14.200Z - GET /api/fs/list
2026-03-05T05:51:17.210Z - GET /api/fs/list
2026-03-05T05:51:17.236Z - GET /api/fs/list
2026-03-05T05:51:20.172Z - GET /api/fs/list
2026-03-05T05:51:20.175Z - GET /api/fs/list
2026-03-05T05:51:22.124Z - POST /api/push/visibility
2026-03-05T05:51:23.169Z - GET /api/fs/list
2026-03-05T05:51:23.170Z - GET /api/fs/list
2026-03-05T05:51:26.169Z - GET /api/fs/list
2026-03-05T05:51:26.171Z - GET /api/fs/list
2026-03-05T05:51:29.170Z - GET /api/fs/list
2026-03-05T05:51:29.172Z - GET /api/fs/list
2026-03-05T05:51:32.157Z - POST /api/push/visibility
2026-03-05T05:51:32.170Z - GET /api/fs/list
2026-03-05T05:51:32.192Z - GET /api/fs/list
2026-03-05T05:51:35.174Z - GET /api/fs/list
2026-03-05T05:51:35.176Z - GET /api/fs/list
2026-03-05T05:51:38.173Z - GET /api/fs/list
2026-03-05T05:51:38.176Z - GET /api/fs/list
2026-03-05T05:51:41.316Z - GET /api/fs/list
2026-03-05T05:51:41.363Z - GET /api/fs/list
2026-03-05T05:51:42.132Z - POST /api/push/visibility
2026-03-05T05:51:44.182Z - GET /api/fs/list
2026-03-05T05:51:44.192Z - GET /api/fs/list
2026-03-05T05:51:47.201Z - GET /api/fs/list
2026-03-05T05:51:47.204Z - GET /api/fs/list
2026-03-05T05:51:50.185Z - GET /api/fs/list
2026-03-05T05:51:50.417Z - GET /api/fs/list
2026-03-05T05:51:52.151Z - POST /api/push/visibility
2026-03-05T05:51:53.172Z - GET /api/fs/list
2026-03-05T05:51:53.188Z - GET /api/fs/list
2026-03-05T05:51:56.206Z - GET /api/fs/list
2026-03-05T05:51:56.213Z - GET /api/fs/list
2026-03-05T05:51:59.250Z - GET /api/fs/list
